,Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
98,Indiamart Intermesh,5k,3.6,Internet,19k,658,673,1992,33,coforge.com
99,HSBC Group,4.9k,3.9,Financial Services,37.5k,494,168,1865,160,hsbc.com
100,Siemens,4.9k,4.1,Industrial Automation,30.9k,434,1.2k,1867,158,siemens.com 
101,Aurobindo Pharma,4.9k,4.0,Pharma,21.5k,247,16,1986,39,aurobindo.com
102,Shapoorji Pallonji Group,4.8k,4.1,Engineering & Construction,14.9k,344,36,1865,160,shapoorjipallonji.com
103,Standard Chartered,4.8k,3.7,Banking,39.8k,275,--,1853,172,sc.com
104,Firstsource Solutions,4.8k,3.6,BPO,22.5k,309,112,2001,24,firstsource.com
105,DMart,4.8k,3.9,Retail,16k,413,110,2002,23,dmartindia.com
106,CGI Group,4.8k,4.0,IT Services & Consulting,43.4k,501,200,1976,49,cgi.com
107,Cholamandalam Investment & Finance,4.8k,3.9,Financial Services,11.4k,200,25,1978,47,cholamandalam.com
108,GlobalLogic,4.7k,3.7,IT Services & Consulting,36.2k,600,45,2000,25,globallogic.com
109,Apollo Hospitals,4.7k,4.1,Healthcare,15.9k,366,39,1983,42,"apollohospitals.comPrimary IndustryHealthcareOther Industries--Are you managing Apollo Hospitals's employer brand? To edit company information,claim this page for freeReplay videoView in video summaryApollo Hospitals was established in 1983 by Dr. Prathap C Reddy, renowned as the architect of modern healthcare in India. As the nation's first corporate hospital, Apollo Hospitals is acclaimed for pioneering the private healthcare revolution in the country. Apollo Hospitals has emerged as Asia's foremost integrated healthcare services provider and has a robust presence across the healthcare ecosystem, including Hospitals, Pharmacies, "
